"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 19 21:06:32 IST 2019","Thu Dec 19 21:06:38 IST 2019","5988","","test_2_Login","TestLogin","","","test_login",""
"broken","Thu Dec 19 21:06:13 IST 2019","Thu Dec 19 21:06:17 IST 2019","4266","","test_1_Register","TestRegister","","","test_register",""
