"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 19 19:58:48 IST 2019","Thu Dec 19 19:58:51 IST 2019","2997","","test_1_Register","TestRegister","","","test_register",""
"passed","Thu Dec 19 19:59:06 IST 2019","Thu Dec 19 19:59:12 IST 2019","5715","","test_2_Login","TestLogin","","","test_login",""
