"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 04 11:03:44 CDT 2019","Fri Oct 04 11:03:48 CDT 2019","3841","","test_1_Register","TestRegister","","","test_register",""
"passed","Fri Oct 04 11:04:04 CDT 2019","Fri Oct 04 11:05:19 CDT 2019","75339","","test_2_Login","TestLogin","","","test_login",""
