"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 02 11:43:39 CDT 2019","Wed Oct 02 11:43:49 CDT 2019","10250","","test_2_Login","TestLogin","","","test_login",""
"broken","Wed Oct 02 11:43:22 CDT 2019","Wed Oct 02 11:43:25 CDT 2019","3134","","test_1_Register","TestRegister","","","test_register",""
