"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 05 13:51:02 CDT 2019","Thu Sep 05 13:51:21 CDT 2019","18801","","test_2_Login","TestLogin","","","test_login",""
"broken","Thu Sep 05 13:50:46 CDT 2019","Thu Sep 05 13:50:49 CDT 2019","2342","","test_1_Register","TestRegister","","","test_register",""
