"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 05 13:46:58 CDT 2019","Thu Sep 05 13:47:53 CDT 2019","54479","","test_2_Login","TestLogin","","","test_login",""
"broken","Thu Sep 05 13:46:42 CDT 2019","Thu Sep 05 13:46:45 CDT 2019","2512","","test_1_Register","TestRegister","","","test_register",""
