"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Sep 05 13:43:52 CDT 2019","Thu Sep 05 13:43:54 CDT 2019","2432","","test_1_Register","TestRegister","","","test_register",""
"passed","Thu Sep 05 13:44:08 CDT 2019","Thu Sep 05 13:44:31 CDT 2019","22694","","test_2_Login","TestLogin","","","test_login",""
