"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 07 05:08:10 CDT 2019","Sat Sep 07 05:08:16 CDT 2019","5747","","test_2_Login","TestLogin","","","test_login",""
"broken","Sat Sep 07 05:07:52 CDT 2019","Sat Sep 07 05:07:55 CDT 2019","3266","","test_1_Register","TestRegister","","","test_register",""
